iter	Passed	Remaining
0	0	42
1	0	41
2	1	40
3	1	36
4	1	35
5	2	34
6	2	35
7	3	35
8	3	34
9	3	34
10	4	33
11	4	33
12	4	32
13	5	32
14	5	32
15	6	31
16	6	31
17	6	30
18	7	30
19	7	29
20	7	29
21	8	28
22	8	28
23	8	28
24	9	27
25	9	27
26	10	27
27	10	26
28	10	26
29	11	26
30	11	25
31	11	25
32	12	24
33	12	24
34	12	23
35	13	23
36	13	23
37	13	22
38	14	22
39	14	22
40	14	21
41	15	20
42	15	20
43	15	20
44	16	19
45	16	19
46	16	18
47	17	18
48	17	18
49	17	17
50	18	17
51	18	17
52	18	16
53	19	16
54	19	15
55	19	15
56	20	15
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	22	12
63	22	12
64	22	12
65	23	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	25	9
74	26	8
75	26	8
76	26	8
77	27	7
78	27	7
79	27	6
80	28	6
81	28	6
82	28	5
83	29	5
84	29	5
85	29	4
86	30	4
87	30	4
88	30	3
89	31	3
90	31	3
91	31	2
92	32	2
93	32	2
94	32	1
95	33	1
96	33	1
97	33	0
98	34	0
99	34	0
